"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2022","RVVB","kamerwoning","Verbouwen of hergebruik","Q4","1","1","1","0","19","0,00","490","489,89","152,39","0,00","0,00"
"2022","RVVB","kamerwoning","Verbouwen of hergebruik","Q1","1","1","1","0","15","0,00","444","675,70","189,70","0,00","0,00"
"2022","Provincie","kamerwoning","Nieuwbouw","Q2","2","2","2","0","12","0,00","428","454,40","264,20","0,00","0,00"
"2022","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q1","6","6","6","0","44","0,00","326","814,09","397,06","0,00","0,00"
"2022","-","eengezins- en kamerwoning","Verbouwen of hergebruik","Q3","2","2","2","0","6","0,00","296","400,25","336,35","0,00","0,00"
"2022","-","eengezins- en kamerwoning","Verbouwen of hergebruik","Q1","2","2","2","0","11","0,00","282","376,10","124,50","0,00","0,00"
"2022","-","eengezins- en kamerwoning","Verbouwen of hergebruik","Q2","2","3","3","0","7","0,00","280","454,55","181,69","0,00","0,00"
"2022","-","eengezins- en kamerwoning","Verbouwen of hergebruik","Q4","2","2","2","0","8","0,00","165","254,77","182,00","0,00","0,00"
"2022","Provincie","kamerwoning","Verbouwen of hergebruik","Q3","1","1","1","0","6","0,00","148","942,00","512,00","0,00","0,00"
"2022","Gemeente","eengezins- en kamerwoning","Nieuwbouw","Q4","1","1","1","0","4","0,00","127","226,40","81,60","0,00","0,00"
"2022","Gemeente","-","-","Q1","2.241","2.667","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Gemeente","-","Sloop","Q1","2.032","3.126","3.126","0","0","0,00","0","0,00","0,00","798.143,77","6.834.241,39"
"2022","-","-","-","Q1","675","797","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","-","-","Sloop","Q1","392","693","693","0","0","0,00","0","0,00","0,00","284.622,30","1.684.841,77"
"2022","Provincie","-","Sloop","Q1","197","349","349","0","0","0,00","0","0,00","0,00","124.794,38","1.251.315,71"
"2022","Provincie","-","-","Q1","69","141","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","RVVB","-","Sloop","Q1","25","39","39","0","0","0,00","0","0,00","0,00","17.679,29","84.883,40"
"2022","Vlaamse Overheid","-","Sloop","Q1","15","31","31","0","0","0,00","0","0,00","0,00","42.266,13","360.874,92"
"2022","RVVB","-","-","Q1","7","13","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Vlaamse Overheid","-","-","Q1","1","1","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Gemeente","-","Sloop","Q2","2.499","3.883","3.885","0","0","0,00","0","0,00","0,00","858.183,81","5.481.545,13"
"2022","Gemeente","-","-","Q2","2.200","2.595","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","-","-","-","Q2","682","811","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","-","-","Sloop","Q2","526","880","880","0","0","0,00","0","0,00","0,00","342.217,45","1.988.383,69"
"2022","Provincie","-","Sloop","Q2","269","494","494","0","0","0,00","0","0,00","0,00","1.250.897,48","2.467.783,13"
"2022","Provincie","-","-","Q2","80","122","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","RVVB","-","Sloop","Q2","21","29","29","0","0","0,00","0","0,00","0,00","9.112,89","60.495,43"
"2022","Vlaamse Overheid","-","Sloop","Q2","19","27","27","0","0","0,00","0","0,00","0,00","10.277,30","55.390,46"
"2022","RVVB","-","-","Q2","12","21","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Gemeente","-","Verbouwen of hergebruik","Q2","1","1","1","0","0","0,00","0","238,05","122,83","0,00","0,00"
"2022","Vlaamse Overheid","-","-","Q2","0","0","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Gemeente","-","Sloop","Q3","2.101","3.317","3.317","0","0","0,00","0","0,00","0,00","900.228,50","4.543.815,39"
"2022","Gemeente","-","-","Q3","1.889","2.342","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","-","-","-","Q3","581","736","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","-","-","Sloop","Q3","471","773","773","0","0","0,00","0","0,00","0,00","355.180,52","2.576.282,61"
"2022","Provincie","-","Sloop","Q3","241","447","447","0","0","0,00","0","0,00","0,00","267.242,91","1.941.890,20"
"2022","Provincie","-","-","Q3","52","83","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","RVVB","-","Sloop","Q3","19","32","32","0","0","0,00","0","0,00","0,00","10.549,90","56.579,77"
"2022","Vlaamse Overheid","-","Sloop","Q3","13","15","15","0","0","0,00","0","0,00","0,00","16.054,84","49.539,61"
"2022","RVVB","-","-","Q3","7","13","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Vlaamse Overheid","-","-","Q3","1","2","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Gemeente","-","Sloop","Q4","2.793","4.336","4.336","0","0","0,00","0","0,00","0,00","1.487.927,09","8.547.890,68"
"2022","Gemeente","-","-","Q4","2.173","2.614","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","-","-","-","Q4","639","836","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","-","-","Sloop","Q4","610","1.051","1.051","0","0","0,00","0","0,00","0,00","359.646,68","2.278.004,22"
"2022","Provincie","-","Sloop","Q4","269","502","502","0","0","0,00","0","0,00","0,00","235.451,68","1.348.025,92"
"2022","Provincie","-","-","Q4","94","130","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
