Jaar indiening;Gebouw Functie kort;Handeling;Project Aanvrager Type;Aantal projecten;Aantal gebouwen;Aantal gebouwen (met gebouwinfo);Aantal wooneenheden;Aantal (studenten)kamers;Nuttige woonoppervlakte (m²);Nuttige oppervlakte kamerwoningen (m²);Bovengronds nuttige oppervlakte (m²);Bovengronds grond oppervlakte (m²);Gesloopte oppervlakte (m²);Gesloopte volume (m³);[Project Huidige Toestand Eenvoudig]
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;61;163;163;162;0;26.107,43;0;26.935,49;16.018,46;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezinswoning;Nieuwbouw;Rechtspersoon;83;284;284;278;0;40.581,68;0;59.826,87;29.740,12;0,00;0,00;Weigering
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon;243;298;298;291;0;56.488,48;0;59.919,11;42.865,47;0,00;0,00;Weigering
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;260;575;575;572;0;113.295,97;0;132.501,18;59.352,12;0,00;0,00;Vergunning
2025;eengezinswoning;Nieuwbouw;Rechtspersoon;307;1.003;1.003;991;0;157.711,39;0;165.643,49;101.379,19;0,00;0,00;Stopgezet
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon;679;841;841;827;0;214.826,49;0;174.266,12;112.882,69;0,00;0,00;Stopgezet
2025;eengezinswoning;Nieuwbouw;Rechtspersoon;360;1.561;1.561;1.553;0;222.378,16;0;232.542,42;134.647,33;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon;1.014;1.176;1.176;1.163;0;241.222,94;0;240.622,07;163.681,57;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezinswoning;Nieuwbouw;Rechtspersoon;1.380;4.020;4.020;3.991;0;652.572,62;0;664.908,62;382.617,87;0,00;0,00;Vergunning
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon;4.949;5.429;5.429;5.364;0;1.210.594,40;0;1.334.826,38;808.055,82;0,00;0,00;Vergunning
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;1;0;106,00;0;106,00;79,67;0,00;0,00;Geen beslissing genomen
2025;eengezinswoning;Verbouwen of hergebruik;Overheid;4;4;4;3;0;417,65;0;1.024,65;529,72;0,00;0,00;Vergunning
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;4;5;5;5;0;691,32;0;697,83;421,15;0,00;0,00;Aktename
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;6;6;6;5;0;1.089,44;0;1.133,64;700,65;0,00;0,00;In behandeling (na beroep)
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;6;9;9;9;0;1.321,40;0;1.286,70;747,83;0,00;0,00;Niet rechtsgeldig
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;9;9;9;5;0;1.371,21;0;2.681,41;1.957,65;0,00;0,00;Weigering
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;8;10;10;9;0;1.497,85;0;1.705,85;1.083,17;0,00;0,00;Geen beslissing genomen
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;19;19;19;17;0;2.750,88;0;3.205,13;2.124,40;0,00;0,00;Niet rechtsgeldig
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;34;44;44;43;0;7.217,93;0;7.372,59;4.224,00;0,00;0,00;Aktename
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;51;55;55;43;0;10.525,51;0;18.773,61;12.439,81;0,00;0,00;Stopgezet
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;39;67;67;58;0;11.802,08;0;19.474,95;14.955,91;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;29;47;47;39;0;15.372,39;0;21.432,65;18.523,69;0,00;0,00;In behandeling (na beroep)
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;186;238;238;205;0;36.447,25;0;54.499,96;37.423,03;0,00;0,00;Vergunning
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;233;245;245;238;0;37.795,78;0;37.838,13;34.469,61;0,00;0,00;Niet rechtsgeldig
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;148;227;227;203;0;40.234,99;0;58.808,26;43.431,82;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;148;236;236;228;0;48.366,31;0;53.757,64;43.502,31;0,00;0,00;In behandeling (na beroep)
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;171;201;201;164;0;70.767,99;0;69.323,39;55.417,54;0,00;0,00;Stopgezet
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;442;442;442;439;0;81.342,83;0;81.065,24;62.114,75;0,00;0,00;Aktename
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;599;665;665;606;0;124.706,43;0;146.079,30;103.723,94;0,00;0,00;Weigering
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;781;1.237;1.237;1.128;0;182.563,47;0;605.334,81;172.152,89;0,00;0,00;Vergunning
2025;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;43;57;57;45;0;238.990,49;0;19.272,11;13.874,99;0,00;0,00;Weigering
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;1.881;2.089;2.091;1.999;0;425.815,26;0;472.792,94;324.975,22;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;2.323;2.474;2.475;2.297;0;501.526,83;0;509.648,24;356.380,65;0,00;0,00;Stopgezet
2025;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;10.863;11.365;11.366;10.901;0;2.361.392,44;0;2.350.534,44;2.098.305,96;0,00;0,00;Vergunning
2026;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;1;2;2;2;0;421,40;0;421,40;272,00;0,00;0,00;Stopgezet
2026;eengezinswoning;Nieuwbouw;Rechtspersoon;2;5;5;5;0;783,77;0;783,77;379,25;0,00;0,00;Vergunning
2026;eengezinswoning;Nieuwbouw;Natuurlijk persoon;9;11;11;11;0;2.134,06;0;2.134,06;1.201,84;0,00;0,00;Vergunning
2026;eengezinswoning;Nieuwbouw;Natuurlijk persoon;18;18;18;18;0;4.535,66;0;4.448,43;3.225,55;0,00;0,00;Stopgezet
2026;eengezinswoning;Nieuwbouw;Rechtspersoon;8;43;43;43;0;5.437,14;0;5.399,14;3.391,19;0,00;0,00;Stopgezet
2026;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;24;63;63;62;0;9.559,80;0;9.979,21;5.848,64;0,00;0,00;In behandeling (in eerste aanleg)
2026;eengezinswoning;Nieuwbouw;Rechtspersoon;132;393;393;385;0;57.430,12;0;60.094,01;34.477,62;0,00;0,00;In behandeling (in eerste aanleg)
2026;eengezinswoning;Nieuwbouw;Natuurlijk persoon;450;550;550;520;0;103.128,07;0;104.342,51;73.015,95;0,00;0,00;In behandeling (in eerste aanleg)
2026;eengezinswoning;Verbouwen of hergebruik;Overheid;1;1;1;1;0;91,20;0;91,20;57,74;0,00;0,00;Aktename
2026;eengezinswoning;Verbouwen of hergebruik;Overheid;1;1;1;1;0;91,20;0;91,20;57,74;0,00;0,00;Niet rechtsgeldig
2026;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;1;0;130,00;0;130,00;70,50;0,00;0,00;Stopgezet
2026;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;2;0;325,54;0;325,54;226,85;0,00;0,00;Aktename
2026;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;2;0;440,90;0;440,90;370,99;0,00;0,00;Vergunning
2026;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;3;0;576,89;0;570,45;296,26;0,00;0,00;Stopgezet
2026;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;16;16;16;14;0;1.968,35;0;2.530,60;1.545,04;0,00;0,00;Niet rechtsgeldig
2026;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;17;22;22;20;0;4.314,04;0;4.405,06;3.496,40;0,00;0,00;In behandeling (in eerste aanleg)
2026;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;29;29;30;28;0;6.092,34;0;7.585,79;5.473,85;0,00;0,00;Vergunning
2026;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;39;39;39;39;0;7.641,20;0;7.487,28;4.844,33;0,00;0,00;Aktename
2026;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;97;103;103;94;0;16.532,30;0;18.206,51;13.125,91;0,00;0,00;Stopgezet
2026;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;99;131;131;108;0;19.402,11;0;27.137,28;17.375,15;0,00;0,00;In behandeling (in eerste aanleg)
2026;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;1.180;1.274;1.274;1.155;0;226.805,95;0;246.151,97;176.203,37;0,00;0,00;In behandeling (in eerste aanleg)
2018;kamerwoning;Nieuwbouw;Rechtspersoon;9;11;11;0;354;0,00;7.860;9.882,56;2.109,67;0,00;0,00;Vergunning
2018;kamerwoning;Nieuwbouw;Natuurlijk persoon;6;6;6;0;66;0,00;2.749;51.495,49;14.690,02;0,00;0,00;Vergunning
2018;kamerwoning;Nieuwbouw;Rechtspersoon;6;6;6;0;236;0,00;1.880;2.216,70;751,37;0,00;0,00;Stopgezet
2018;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;1;1;1;0;79;0,00;1.497;3.188,24;945,68;0,00;0,00;Stopgezet
2018;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;2;3;3;0;18;0,00;489;511,40;296,80;0,00;0,00;Vergunning
2018;kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;13;0,00;482;681,00;119,00;0,00;0,00;Weigering
2018;kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;10;0,00;320;935,00;391,00;0,00;0,00;Stopgezet
2018;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;33;33;33;0;1.445;0,00;49.808;32.200,67;11.265,91;0,00;0,00;Vergunning
2018;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;7;7;7;0;88;0,00;48.177;2.552,06;1.018,06;0,00;0,00;Stopgezet
2018;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;51;54;54;0;819;0,00;19.137;26.883,03;10.747,75;0,00;0,00;Vergunning
2018;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;19;19;19;0;168;0,00;7.507;5.257,31;2.270,31;0,00;0,00;Weigering
2018;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;10;10;10;0;143;0,00;2.360;8.462,74;3.975,41;0,00;0,00;Stopgezet
2018;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;82;0,00;2.209;3.345,27;1.264,06;0,00;0,00;Weigering
2018;kamerwoning;Verbouwen of hergebruik;-;1;1;1;0;0;0,00;730;246,00;587,00;0,00;0,00;Stopgezet
2018;kamerwoning;Verbouwen of hergebruik;-;1;1;1;0;0;0,00;730;246,00;587,00;0,00;0,00;Vergunning
2018;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;2;2;2;0;12;0,00;523;600,83;341,21;0,00;0,00;Stopgezet
2018;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;0;0,00;213;286,44;120,70;0,00;0,00;Weigering
2018;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;2;0,00;139;138,83;158,21;0,00;0,00;Vergunning
2018;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;0;6;0,00;130;130,10;41,60;0,00;0,00;Aktename
2019;kamerwoning;Nieuwbouw;Rechtspersoon;17;18;18;0;386;0,00;58.178;179.264,15;112.788,93;0,00;0,00;Vergunning
2019;kamerwoning;Nieuwbouw;Natuurlijk persoon;6;6;6;0;69;0,00;26.993;2.307,36;1.294,92;0,00;0,00;Vergunning
2019;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;2;3;3;0;342;0,00;21.838;349.505,08;103.149,05;0,00;0,00;Stopgezet
2019;kamerwoning;Nieuwbouw;Rechtspersoon;7;7;7;0;479;0,00;13.651;20.908,25;7.111,42;0,00;0,00;Stopgezet
2019;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;6;8;8;0;114;0,00;3.657;3.881,65;1.780,96;0,00;0,00;Vergunning
2019;kamerwoning;Nieuwbouw;Natuurlijk persoon;4;4;4;0;85;0,00;2.551;2.556,73;573,84;0,00;0,00;Stopgezet
2019;kamerwoning;Nieuwbouw;Natuurlijk persoon;1;1;1;0;10;0,00;320;564,00;282,00;0,00;0,00;Geen beslissing genomen
2019;kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;5;0,00;186;191,16;116,29;0,00;0,00;Weigering
2019;kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;8;0,00;149;214,80;82,30;0,00;0,00;Weigering
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;74;78;78;0;709;0,00;25.114;23.941,14;14.461,50;0,00;0,00;Vergunning
2019;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;30;30;30;0;1.238;0,00;14.774;20.317,84;7.954,56;0,00;0,00;Vergunning
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;8;8;8;0;250;0,00;7.884;8.626,73;3.173,73;0,00;0,00;Vergunning
2019;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;8;9;9;0;268;0,00;6.946;8.621,00;2.971,79;0,00;0,00;Weigering
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;23;24;24;0;185;0,00;5.371;4.425,22;3.782,88;0,00;0,00;Stopgezet
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;20;20;20;0;361;0,00;4.588;4.590,86;2.483,28;0,00;0,00;Weigering
2019;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;112;0,00;3.336;6.704,42;2.314,14;0,00;0,00;Stopgezet
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;2;3;3;0;32;0,00;554;577,58;239,15;0,00;0,00;Niet rechtsgeldig
2019;kamerwoning;Verbouwen of hergebruik;Overheid;1;1;1;0;9;0,00;400;200,00;200,00;0,00;0,00;Vergunning
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;0;20;0,00;348;287,94;111,70;0,00;0,00;Aktename
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;9;0,00;244;243,80;90,40;0,00;0,00;Stopgezet
2019;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;14;0,00;17;377,90;100,50;0,00;0,00;Weigering
2020;kamerwoning;Nieuwbouw;Rechtspersoon;8;10;10;0;362;0,00;19.432;10.272,33;3.411,84;0,00;0,00;Vergunning
2020;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;2;4;4;0;584;0,00;16.105;671.580,76;205.646,00;0,00;0,00;Stopgezet
2020;kamerwoning;Nieuwbouw;Rechtspersoon;4;4;4;0;320;0,00;8.565;11.633,17;3.604,77;0,00;0,00;Stopgezet
2020;kamerwoning;Nieuwbouw;Natuurlijk persoon;7;8;8;0;93;0,00;3.704;5.601,61;2.016,78;0,00;0,00;Vergunning
2020;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;4;4;4;0;82;0,00;2.964;2.876,05;1.339,47;0,00;0,00;Vergunning
2020;kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;24;0,00;1.202;1.201,50;521,70;0,00;0,00;Weigering
2020;kamerwoning;Nieuwbouw;Natuurlijk persoon;5;5;5;0;27;0,00;1.006;1.274,22;506,79;0,00;0,00;Weigering
2020;kamerwoning;Nieuwbouw;Natuurlijk persoon;4;4;4;0;33;0,00;569;1.563,37;533,85;0,00;0,00;Stopgezet
2020;kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;19;0,00;465;434,75;350,53;0,00;0,00;In behandeling (na beroep)
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;12;13;13;0;848;0,00;37.421;5.189,16;2.165,72;0,00;0,00;Vergunning
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;35;35;36;0;271;0,00;36.592;7.562,88;4.475,72;0,00;0,00;Stopgezet
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;77;84;84;0;1.540;0,00;30.865;25.511,30;12.583,27;0,00;0,00;Vergunning
2020;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;27;27;27;0;602;0,00;8.910;11.580,75;5.555,65;0,00;0,00;Vergunning
2020;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;5;5;5;0;148;0,00;4.293;4.365,11;1.543,46;0,00;0,00;Weigering
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;15;16;16;0;442;0,00;2.771;3.512,58;2.219,88;0,00;0,00;Weigering
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;6;6;6;0;51;0,00;2.236;1.571,36;721,35;0,00;0,00;Stopgezet
2020;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;5;5;5;0;63;0,00;2.180;2.530,70;989,00;0,00;0,00;Stopgezet
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;4;4;4;0;47;0,00;612;643,49;295,41;0,00;0,00;Weigering
2020;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;2;2;0;24;0,00;572;572,31;166,06;0,00;0,00;In behandeling (na beroep)
2020;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;0;22;0,00;517;670,10;211,26;0,00;0,00;Niet rechtsgeldig
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;3;3;3;0;88;0,00;397;422,80;170,45;0,00;0,00;Niet rechtsgeldig
2020;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;0;14;0,00;382;453,28;152,02;0,00;0,00;Aktename
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;0;9;0,00;336;402,00;150,40;0,00;0,00;In behandeling (na beroep)
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;2;2;2;0;88;0,00;323;366,60;188,48;0,00;0,00;Aktename
2020;kamerwoning;Verbouwen of hergebruik;Overheid;1;1;1;0;8;0,00;320;320,00;118,00;0,00;0,00;Vergunning
2020;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Overheid;1;1;1;0;12;0,00;275;274,61;109,27;0,00;0,00;Vergunning
2021;kamerwoning;Nieuwbouw;Rechtspersoon;16;17;17;0;785;0,00;101.872;185.836,07;111.566,68;0,00;0,00;Vergunning
2021;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;7;7;7;0;336;0,00;39.671;10.871,31;4.394,34;0,00;0,00;Vergunning
2021;kamerwoning;Nieuwbouw;Rechtspersoon;5;5;5;0;524;0,00;14.897;18.571,37;5.155,94;0,00;0,00;Stopgezet
2021;kamerwoning;Nieuwbouw;Rechtspersoon;7;7;7;0;393;0,00;11.051;11.623,04;3.612,96;0,00;0,00;Weigering
2021;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;4;5;5;0;335;0,00;10.332;11.801,35;3.793,61;0,00;0,00;Stopgezet
2021;kamerwoning;Nieuwbouw;Natuurlijk persoon;9;9;9;0;82;0,00;2.615;3.071,37;1.555,83;0,00;0,00;Vergunning
2021;kamerwoning;Nieuwbouw;Natuurlijk persoon;3;3;3;0;79;0,00;1.986;2.192,08;535,34;0,00;0,00;Weigering
2021;kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;54;0,00;1.373;1.696,13;442,56;0,00;0,00;Stopgezet
2021;kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;29;0,00;665;664,98;209,20;0,00;0,00;In behandeling (na beroep)
2021;kamerwoning;Nieuwbouw;Overheid;1;1;1;0;4;0,00;114;114,00;136,00;0,00;0,00;Vergunning
2021;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;41;42;42;0;523;0,00;27.830;17.620,67;9.244,69;0,00;0,00;Vergunning
2021;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;10;10;10;0;226;0,00;19.508;8.919,05;1.794,64;0,00;0,00;Stopgezet
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;63;65;65;0;919;0,00;12.738;15.980,15;7.596,09;0,00;0,00;Vergunning
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;20;21;21;0;383;0,00;11.652;13.572,44;5.693,88;0,00;0,00;Vergunning
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;26;27;27;0;272;0,00;5.736;6.714,83;2.988,23;0,00;0,00;Stopgezet
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;12;12;12;0;82;0,00;2.448;3.151,90;1.427,27;0,00;0,00;Weigering
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;3;3;3;0;75;0,00;1.881;2.342,96;730,90;0,00;0,00;Stopgezet
2021;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;5;5;5;0;63;0,00;1.458;2.454,15;1.025,55;0,00;0,00;Weigering
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;24;0,00;981;981,40;178,30;0,00;0,00;In behandeling (na beroep)
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;576;0,00;387;485,55;133,49;0,00;0,00;Weigering
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;3;3;3;0;8;0,00;351;355,05;179,98;0,00;0,00;Niet rechtsgeldig
2021;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;0;1;0,00;20;19,74;24,29;0,00;0,00;Aktename
2022;kamerwoning;Nieuwbouw;Rechtspersoon;17;18;18;0;953;0,00;26.082;29.160,99;8.499,63;0,00;0,00;Vergunning
2022;kamerwoning;Nieuwbouw;Rechtspersoon;7;10;10;0;907;0,00;21.678;34.126,03;6.760,75;0,00;0,00;Stopgezet
2022;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;7;9;9;0;554;0,00;15.838;19.893,90;7.526,48;0,00;0,00;Vergunning
2022;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;3;3;3;0;177;0,00;4.496;4.478,90;1.867,67;0,00;0,00;Weigering
2022;kamerwoning;Nieuwbouw;Natuurlijk persoon;5;5;5;0;145;0,00;4.196;4.660,87;1.558,53;0,00;0,00;Vergunning
2022;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;3;3;3;0;159;0,00;4.128;4.430,36;1.682,96;0,00;0,00;Stopgezet
2022;kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;145;0,00;3.792;4.947,44;1.486,88;0,00;0,00;Stopgezet
2022;kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;86;0,00;1.357;2.698,80;541,80;0,00;0,00;Weigering
2022;kamerwoning;Nieuwbouw;Rechtspersoon;2;2;2;0;25;0,00;1.183;1.693,77;729,19;0,00;0,00;Weigering
2022;kamerwoning;Nieuwbouw;Rechtspersoon;2;3;3;0;53;0,00;1.131;1.885,93;427,30;0,00;0,00;In behandeling (na beroep)
2022;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;1;1;1;0;42;0,00;1.042;1.124,10;350,00;0,00;0,00;In behandeling (na beroep)
2022;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;53;53;53;0;1.116;0,00;18.986;22.724,23;9.859,83;0,00;0,00;Vergunning
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;66;68;68;0;670;0,00;14.900;19.356,17;9.643,74;0,00;0,00;Vergunning
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;10;10;10;0;336;0,00;9.949;10.553,94;4.497,74;0,00;0,00;Vergunning
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;6;6;6;0;218;0,00;7.715;7.784,95;2.693,70;0,00;0,00;Stopgezet
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;27;28;28;0;256;0,00;6.739;6.753,02;3.626,51;0,00;0,00;Stopgezet
2022;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;16;17;17;0;234;0,00;6.592;8.492,65;3.940,88;0,00;0,00;Stopgezet
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;21;23;23;0;144;0,00;4.473;21.589,77;2.982,36;0,00;0,00;Weigering
2022;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;15;15;15;0;299;0,00;3.976;5.475,33;2.595,97;0,00;0,00;Weigering
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;3;3;3;0;25;0,00;857;931,14;388,65;0,00;0,00;Weigering
2022;kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;14;0,00;761;761,00;280,60;0,00;0,00;Niet rechtsgeldig
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;2;2;2;0;16;0,00;760;898,34;481,22;0,00;0,00;In behandeling (na beroep)
2022;kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;2;2;2;0;13;0,00;325;256,97;169,20;0,00;0,00;Niet rechtsgeldig
2023;kamerwoning;Nieuwbouw;Rechtspersoon;28;29;29;0;1.006;0,00;33.794;34.981,11;13.965,58;0,00;0,00;Vergunning
2023;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;7;8;8;0;231;0,00;7.123;7.421,22;2.537,73;0,00;0,00;Vergunning
2023;kamerwoning;Nieuwbouw;Rechtspersoon;6;8;8;0;164;0,00;4.331;4.648,02;1.688,82;0,00;0,00;Stopgezet
2023;kamerwoning;Nieuwbouw;Natuurlijk persoon;7;9;9;0;162;0,00;4.021;5.555,51;1.440,68;0,00;0,00;Stopgezet
2023;kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;107;0,00;3.005;3.368,40;986,60;0,00;0,00;In behandeling (na beroep)
2023;kamerwoning;Nieuwbouw;Natuurlijk persoon;8;10;10;0;149;0,00;2.904;4.612,35;1.511,87;0,00;0,00;Vergunning
2023;kamerwoning;Nieuwbouw;Rechtspersoon;3;6;6;0;103;0,00;2.592;2.855,11;1.142,51;0,00;0,00;Weigering
2023;kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;80;0,00;2.468;3.509,98;850,00;0,00;0,00;Geen beslissing genomen
2023;kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;2;3;3;0;49;0,00;1.434;1.433,75;1.134,35;0,00;0,00;Stopgezet
2023;kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;22;0,00;609;1.116,85;269,00;0,00;0,00;Weigering
